uid treatment rep update steal_count donate_count difference diff_per_org
VT0_1 VT0 1 33700 17206 11395 -5811 -1.0025879917184266
VT0_1 VT0 1 33800 17396 11452 -5944 -1.0472163495419309
VT0_1 VT0 1 33900 17031 11924 -5107 -0.9059783572822423
VT0_1 VT0 1 34000 16093 11411 -4682 -0.832207607536438
VT0_1 VT0 1 34100 16769 11847 -4922 -0.8487670287980686
VT0_1 VT0 1 34200 16193 11244 -4949 -0.8743816254416961
VT0_1 VT0 1 34300 16736 11682 -5054 -0.8821783906440914
VT0_1 VT0 1 34400 16372 11639 -4733 -0.833274647887324
VT0_1 VT0 1 34500 15613 12261 -3352 -0.5913902611150318
VT0_1 VT0 1 34600 15569 12330 -3239 -0.5693443487431886
VT0_1 VT0 1 34700 15492 12556 -2936 -0.5199220825216929
VT0_1 VT0 1 34800 15574 13040 -2534 -0.44300699300699303
VT0_1 VT0 1 34900 16208 13093 -3115 -0.5481259897941229
VT0_1 VT0 1 35000 15598 12661 -2937 -0.516986446048231
VT0_1 VT0 1 35100 16127 12378 -3749 -0.6463793103448275
VT0_1 VT0 1 35200 15602 13077 -2525 -0.44501233697567855
VT0_1 VT0 1 35300 17084 12242 -4842 -0.8465034965034965
VT0_1 VT0 1 35400 17456 12020 -5436 -0.9664
VT0_1 VT0 1 35500 16697 12162 -4535 -0.8065089809710119
VT0_1 VT0 1 35600 16780 11661 -5119 -0.9034592304977056
VT0_1 VT0 1 35700 16496 12476 -4020 -0.7039047452285064
VT0_1 VT0 1 35800 16667 11862 -4805 -0.8438707411310151
VT0_1 VT0 1 35900 16727 11999 -4728 -0.8265734265734266
VT0_1 VT0 1 36000 16504 12273 -4231 -0.7344211074466238
VT0_1 VT0 1 36100 16455 12758 -3697 -0.6539890323721917
VT0_1 VT0 1 36200 16540 12645 -3895 -0.6738754325259516
VT0_1 VT0 1 36300 15656 12234 -3422 -0.6064150274676591
VT0_1 VT0 1 36400 15454 11595 -3859 -0.6686882689308612
VT0_1 VT0 1 36500 15655 12351 -3304 -0.5809741515737648
VT0_1 VT0 1 36600 15031 11986 -3045 -0.5315063710944319
VT0_1 VT0 1 36700 14706 11838 -2868 -0.49508026929052307
VT0_1 VT0 1 36800 17399 12207 -5192 -0.8987363683572789
VT0_1 VT0 1 36900 16766 12327 -4439 -0.7695908460471568
VT0_1 VT0 1 37000 16077 11094 -4983 -0.8735974754558204
VT0_1 VT0 1 37100 16661 10605 -6056 -1.0574471800244456
VT0_1 VT0 1 37200 15817 11163 -4654 -0.8146332924908104
VT0_1 VT0 1 37300 16629 11311 -5318 -0.9402404526166902
VT0_1 VT0 1 37400 16488 12007 -4481 -0.7743217556592362
VT0_1 VT0 1 37500 16406 11280 -5126 -0.8759398496240601
VT0_1 VT0 1 37600 15982 10805 -5177 -0.9028601325427276
VT0_1 VT0 1 37700 16847 11545 -5302 -0.9088104216660953
VT0_1 VT0 1 37800 16441 11917 -4524 -0.8042666666666667
VT0_1 VT0 1 37900 16866 12300 -4566 -0.7964416535845107
VT0_1 VT0 1 38000 17018 13257 -3761 -0.6494560524952513
VT0_1 VT0 1 38100 16236 12850 -3386 -0.5952883263009845
VT0_1 VT0 1 38200 15123 12631 -2492 -0.4337684943429069
VT0_1 VT0 1 38300 16458 11322 -5136 -0.8815653964984552
VT0_1 VT0 1 38400 16988 11649 -5339 -0.9393033075299085
VT0_1 VT0 1 38500 16620 11164 -5456 -0.9447619047619048
VT0_1 VT0 1 38600 15873 11570 -4303 -0.740874655647383
VT0_1 VT0 1 38700 16258 11069 -5189 -0.8979062121474304
VT0_1 VT0 1 38800 16091 11583 -4508 -0.7918496399086598
VT0_1 VT0 1 38900 16483 11166 -5317 -0.9355973957416858
VT0_1 VT0 1 39000 16134 11446 -4688 -0.8329779673063256
VT0_1 VT0 1 39100 16896 11336 -5560 -0.961771319840858
VT0_1 VT0 1 39200 16513 12853 -3660 -0.6443661971830986
VT0_1 VT0 1 39300 16715 11887 -4828 -0.8613737734165924
VT0_1 VT0 1 39400 16258 12374 -3884 -0.6779542677605167
VT0_1 VT0 1 39500 16487 11861 -4626 -0.8036831132731064
VT0_1 VT0 1 39600 16035 12765 -3270 -0.5648643979961997
VT0_1 VT0 1 39700 15178 11645 -3533 -0.6037252221462748
VT0_1 VT0 1 39800 15343 10297 -5046 -0.8771075960368503
